"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.060097683E0,-2.000000095E-3,1.739999950E-1,-5.640000105E-1,5.902338605E-1
1.065045117E0,2.500000037E-2,1.529999971E-1,-5.709999800E-1,5.916713414E-1
1.069992978E0,2.500000037E-2,1.529999971E-1,-5.709999800E-1,5.916713414E-1
1.074937753E0,-7.000000216E-3,1.270000041E-1,-5.490000248E-1,5.635415054E-1
1.079883436E0,-7.000000216E-3,1.270000041E-1,-5.490000248E-1,5.635415054E-1
1.084831291E0,-1.400000043E-2,1.190000027E-1,-6.349999905E-1,6.462058407E-1
1.089778510E0,-1.400000043E-2,1.190000027E-1,-6.349999905E-1,6.462058407E-1
1.094728861E0,-2.800000086E-2,1.650000066E-1,-6.299999952E-1,6.518504401E-1
1.099678288E0,-2.800000086E-2,1.650000066E-1,-6.299999952E-1,6.518504401E-1
1.104624422E0,-5.700000003E-2,1.700000018E-1,-6.000000238E-1,6.262180365E-1
1.109571521E0,-5.700000003E-2,1.700000018E-1,-6.000000238E-1,6.262180365E-1
1.114516391E0,-7.900000364E-2,1.449999958E-1,-5.839999914E-1,6.068953694E-1
1.119461910E0,-7.900000364E-2,1.449999958E-1,-5.839999914E-1,6.068953694E-1
1.124410200E0,-9.399999678E-2,1.930000037E-1,-5.080000162E-1,5.514970692E-1
1.129357679E0,-9.399999678E-2,1.930000037E-1,-5.080000162E-1,5.514970692E-1
1.134306444E0,-1.469999999E-1,1.550000012E-1,-4.699999988E-1,5.162693088E-1
1.139254833E0,-1.469999999E-1,1.550000012E-1,-4.699999988E-1,5.162693088E-1
1.144200288E0,-1.529999971E-1,7.900000364E-2,-5.230000019E-1,5.506169283E-1
1.149146603E0,-1.529999971E-1,7.900000364E-2,-5.230000019E-1,5.506169283E-1
1.154094689E0,-1.560000032E-1,5.099999905E-2,-5.540000200E-1,5.778001584E-1
1.159042240E0,-1.560000032E-1,5.099999905E-2,-5.540000200E-1,5.778001584E-1
1.163985272E0,-1.369999945E-1,8.000000380E-3,-5.120000243E-1,5.300726586E-1
1.168929627E0,-1.369999945E-1,8.000000380E-3,-5.120000243E-1,5.300726586E-1
1.173876128E0,-1.480000019E-1,2.099999972E-2,-4.970000088E-1,5.189932652E-1
1.178822005E0,-1.480000019E-1,2.099999972E-2,-4.970000088E-1,5.189932652E-1
1.183766179E0,-1.369999945E-1,-1.499999966E-2,-4.749999940E-1,4.945897217E-1
1.188710854E0,-1.369999945E-1,-1.499999966E-2,-4.749999940E-1,4.945897217E-1
1.193660300E0,-1.230000034E-1,-4.399999976E-2,-4.510000050E-1,4.695380766E-1
1.198608365E0,-1.230000034E-1,-4.399999976E-2,-4.510000050E-1,4.695380766E-1
1.203552390E0,-1.490000039E-1,-2.999999933E-2,-4.480000138E-1,4.730803457E-1
1.208497599E0,-1.490000039E-1,-2.999999933E-2,-4.480000138E-1,4.730803457E-1
1.213444933E0,-1.319999993E-1,-5.000000075E-2,-4.600000083E-1,4.811694167E-1
1.218391688E0,-1.319999993E-1,-5.000000075E-2,-4.600000083E-1,4.811694167E-1
1.223341209E0,-1.800000072E-1,-5.600000173E-2,-3.600000143E-1,4.063693063E-1
1.228289920E0,-1.800000072E-1,-5.600000173E-2,-3.600000143E-1,4.063693063E-1
1.233238688E0,-1.710000038E-1,-5.000000075E-2,-4.359999895E-1,4.709957454E-1
1.238187447E0,-1.710000038E-1,-5.000000075E-2,-4.359999895E-1,4.709957454E-1
1.243134552E0,-1.589999944E-1,-2.899999917E-2,-4.309999943E-1,4.603074986E-1
1.248082141E0,-1.589999944E-1,-2.899999917E-2,-4.309999943E-1,4.603074986E-1
1.253027017E0,-1.490000039E-1,-2.099999972E-2,-4.289999902E-1,4.546240125E-1
1.257972686E0,-1.490000039E-1,-2.099999972E-2,-4.289999902E-1,4.546240125E-1
1.262922886E0,-1.250000000E-1,2.199999988E-2,-3.799999952E-1,4.006357403E-1
1.267871761E0,-1.250000000E-1,2.199999988E-2,-3.799999952E-1,4.006357403E-1
1.272817833E0,-1.360000074E-1,5.000000075E-2,-3.869999945E-1,4.132372174E-1
1.277764710E0,-1.360000074E-1,5.000000075E-2,-3.869999945E-1,4.132372174E-1
1.282713802E0,-1.000000015E-1,1.040000021E-1,-3.650000095E-1,3.924805826E-1
1.287662245E0,-1.000000015E-1,1.040000021E-1,-3.650000095E-1,3.924805826E-1
1.292608104E0,-1.000000015E-1,4.399999976E-2,-3.939999938E-1,4.088667208E-1
1.297554747E0,-1.000000015E-1,4.399999976E-2,-3.939999938E-1,4.088667208E-1
1.302503204E0,-1.490000039E-1,2.600000054E-2,-4.269999862E-1,4.529966770E-1
1.307451131E0,-1.490000039E-1,2.600000054E-2,-4.269999862E-1,4.529966770E-1
1.312395313E0,-1.589999944E-1,-3.200000152E-2,-4.779999852E-1,5.047662669E-1
1.317340594E0,-1.589999944E-1,-3.200000152E-2,-4.779999852E-1,5.047662669E-1
1.322287482E0,-1.640000045E-1,-7.199999690E-2,-5.339999795E-1,5.632370541E-1
1.327233899E0,-1.640000045E-1,-7.199999690E-2,-5.339999795E-1,5.632370541E-1
1.332179444E0,-1.330000013E-1,-5.400000140E-2,-4.959999919E-1,5.163535537E-1
1.337125261E0,-1.330000013E-1,-5.400000140E-2,-4.959999919E-1,5.163535537E-1
1.342071967E0,-1.940000057E-1,-1.140000001E-1,-5.339999795E-1,5.794721567E-1
1.347018414E0,-1.940000057E-1,-1.140000001E-1,-5.339999795E-1,5.794721567E-1
1.351969643E0,-1.190000027E-1,-1.400000006E-1,-5.669999719E-1,5.960284967E-1
1.356919448E0,-1.190000027E-1,-1.400000006E-1,-5.669999719E-1,5.960284967E-1
1.361866778E0,-1.070000008E-1,-1.770000011E-1,-5.479999781E-1,5.857320006E-1
1.366814835E0,-1.070000008E-1,-1.770000011E-1,-5.479999781E-1,5.857320006E-1
1.371761583E0,-1.449999958E-1,-2.610000074E-1,-5.529999733E-1,6.284544320E-1
1.376708700E0,-1.449999958E-1,-2.610000074E-1,-5.529999733E-1,6.284544320E-1
1.381654644E0,-1.459999979E-1,-2.140000015E-1,-4.990000129E-1,5.622392844E-1
1.386600931E0,-1.459999979E-1,-2.140000015E-1,-4.990000129E-1,5.622392844E-1
1.391549250E0,-1.169999987E-1,-2.599999905E-1,-4.239999950E-1,5.109451932E-1
1.396496987E0,-1.169999987E-1,-2.599999905E-1,-4.239999950E-1,5.109451932E-1
