"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.888161500E-1,-1.319999993E-1,1.589999944E-1,-5.699999928E-1,6.063043707E-1
7.937660050E-1,-1.319999993E-1,1.589999944E-1,-5.699999928E-1,6.063043707E-1
7.987117500E-1,-1.150000021E-1,1.759999990E-1,-6.169999838E-1,6.518358537E-1
8.036586990E-1,-1.150000021E-1,1.759999990E-1,-6.169999838E-1,6.518358537E-1
8.086085290E-1,-1.169999987E-1,1.519999951E-1,-5.759999752E-1,6.070988137E-1
8.135574960E-1,-1.169999987E-1,1.519999951E-1,-5.759999752E-1,6.070988137E-1
8.185043840E-1,-1.350000054E-1,1.449999958E-1,-5.600000024E-1,5.940117868E-1
8.234518830E-1,-1.350000054E-1,1.449999958E-1,-5.600000024E-1,5.940117868E-1
8.283994310E-1,-1.330000013E-1,1.369999945E-1,-5.239999890E-1,5.577042113E-1
8.333469620E-1,-1.330000013E-1,1.369999945E-1,-5.239999890E-1,5.577042113E-1
8.382912580E-1,-1.280000061E-1,1.319999993E-1,-5.649999976E-1,5.941658007E-1
8.432365030E-1,-1.280000061E-1,1.319999993E-1,-5.649999976E-1,5.941658007E-1
8.481808840E-1,-1.289999932E-1,2.020000070E-1,-5.770000219E-1,6.247991889E-1
8.531255130E-1,-1.289999932E-1,2.020000070E-1,-5.770000219E-1,6.247991889E-1
8.580711610E-1,-1.089999974E-1,2.360000014E-1,-5.440000296E-1,6.029204195E-1
8.630165100E-1,-1.089999974E-1,2.360000014E-1,-5.440000296E-1,6.029204195E-1
8.679640440E-1,-1.710000038E-1,2.440000027E-1,-5.159999728E-1,5.958464354E-1
8.729109530E-1,-1.710000038E-1,2.440000027E-1,-5.159999728E-1,5.958464354E-1
8.778587790E-1,-1.860000044E-1,2.230000049E-1,-5.279999971E-1,6.025852643E-1
8.828063380E-1,-1.860000044E-1,2.230000049E-1,-5.279999971E-1,6.025852643E-1
8.877522370E-1,-1.430000067E-1,2.240000069E-1,-5.609999895E-1,6.207624290E-1
8.926986320E-1,-1.430000067E-1,2.240000069E-1,-5.609999895E-1,6.207624290E-1
