"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.739393910E-1,4.399999976E-2,-4.999999888E-3,-4.679999948E-1,4.700904116E-1
6.788852650E-1,6.300000101E-2,-2.300000004E-2,-5.270000100E-1,5.312504218E-1
6.838317760E-1,6.300000101E-2,-2.300000004E-2,-5.270000100E-1,5.312504218E-1
6.887783940E-1,7.000000030E-2,-2.099999972E-2,-5.500000119E-1,5.548342213E-1
6.937249910E-1,7.000000030E-2,-2.099999972E-2,-5.500000119E-1,5.548342213E-1
6.986728260E-1,2.999999933E-2,7.000000216E-3,-5.780000091E-1,5.788203611E-1
7.036202990E-1,2.999999933E-2,7.000000216E-3,-5.780000091E-1,5.788203611E-1
7.085697000E-1,6.700000167E-2,4.999999888E-3,-5.469999909E-1,5.511106879E-1
7.135185350E-1,6.700000167E-2,4.999999888E-3,-5.469999909E-1,5.511106879E-1
7.184654450E-1,8.299999684E-2,3.700000048E-2,-3.860000074E-1,3.965526513E-1
7.234129200E-1,8.299999684E-2,3.700000048E-2,-3.860000074E-1,3.965526513E-1
7.283606850E-1,1.150000021E-1,4.500000179E-2,-4.280000031E-1,4.454593172E-1
7.333083720E-1,1.150000021E-1,4.500000179E-2,-4.280000031E-1,4.454593172E-1
7.382574610E-1,1.410000026E-1,6.800000370E-2,-4.510000050E-1,4.773950207E-1
7.432061400E-1,1.410000026E-1,6.800000370E-2,-4.510000050E-1,4.773950207E-1
7.481562500E-1,9.700000286E-2,3.299999982E-2,-5.040000081E-1,5.143092540E-1
7.531059290E-1,9.700000286E-2,3.299999982E-2,-5.040000081E-1,5.143092540E-1
7.580535960E-1,1.010000035E-1,5.799999833E-2,-4.959999919E-1,5.094909150E-1
7.630018530E-1,1.010000035E-1,5.799999833E-2,-4.959999919E-1,5.094909150E-1
7.679477100E-1,8.500000089E-2,2.600000054E-2,-4.979999959E-1,5.058705330E-1
7.728942570E-1,8.500000089E-2,2.600000054E-2,-4.979999959E-1,5.058705330E-1
7.778434060E-1,1.089999974E-1,-8.000000380E-3,-5.109999776E-1,5.225571514E-1
7.827917930E-1,1.089999974E-1,-8.000000380E-3,-5.109999776E-1,5.225571514E-1
7.877397220E-1,1.120000035E-1,-1.400000043E-2,-4.790000021E-1,4.921188910E-1
7.926877590E-1,1.120000035E-1,-1.400000043E-2,-4.790000021E-1,4.921188910E-1
7.976326870E-1,8.600000292E-2,6.000000052E-3,-4.239999950E-1,4.326753936E-1
8.025785280E-1,8.600000292E-2,6.000000052E-3,-4.239999950E-1,4.326753936E-1
8.075258240E-1,7.599999756E-2,-1.000000047E-3,-4.259999990E-1,4.327273955E-1
8.124726890E-1,7.599999756E-2,-1.000000047E-3,-4.259999990E-1,4.327273955E-1
8.174178650E-1,6.700000167E-2,2.600000054E-2,-4.289999902E-1,4.349781510E-1
8.223635360E-1,6.700000167E-2,2.600000054E-2,-4.289999902E-1,4.349781510E-1
8.273165510E-1,1.129999980E-1,5.900000036E-2,-4.449999928E-1,4.628984697E-1
8.322674320E-1,1.129999980E-1,5.900000036E-2,-4.449999928E-1,4.628984697E-1
8.372136770E-1,8.399999887E-2,1.140000001E-1,-4.199999869E-1,4.432290478E-1
8.421612800E-1,8.399999887E-2,1.140000001E-1,-4.199999869E-1,4.432290478E-1
8.471086030E-1,8.200000226E-2,1.500000060E-1,-4.580000043E-1,4.888639955E-1
8.520560260E-1,8.200000226E-2,1.500000060E-1,-4.580000043E-1,4.888639955E-1
8.570043040E-1,9.799999744E-2,1.089999974E-1,-4.850000143E-1,5.066655828E-1
8.619523310E-1,9.799999744E-2,1.089999974E-1,-4.850000143E-1,5.066655828E-1
8.668986760E-1,9.899999946E-2,1.190000027E-1,-4.639999866E-1,4.891400496E-1
8.718455350E-1,9.899999946E-2,1.190000027E-1,-4.639999866E-1,4.891400496E-1
8.767953970E-1,1.360000074E-1,4.800000042E-2,-4.769999981E-1,4.983261986E-1
8.817443800E-1,1.360000074E-1,4.800000042E-2,-4.769999981E-1,4.983261986E-1
8.866907730E-1,1.270000041E-1,4.000000190E-3,-4.769999981E-1,4.936334665E-1
8.916378920E-1,1.270000041E-1,4.000000190E-3,-4.769999981E-1,4.936334665E-1
8.965819420E-1,9.099999815E-2,0.000000000E0,-5.040000081E-1,5.121493999E-1
9.015268910E-1,9.099999815E-2,0.000000000E0,-5.040000081E-1,5.121493999E-1
9.064706980E-1,7.299999893E-2,3.200000152E-2,-5.149999857E-1,5.211314471E-1
9.114148290E-1,7.299999893E-2,3.200000152E-2,-5.149999857E-1,5.211314471E-1
9.163568690E-1,1.140000001E-1,3.299999982E-2,-4.720000029E-1,4.866918971E-1
9.212995220E-1,1.140000001E-1,3.299999982E-2,-4.720000029E-1,4.866918971E-1
9.262440960E-1,1.089999974E-1,5.799999833E-2,-4.580000043E-1,4.743511391E-1
9.311881190E-1,1.089999974E-1,5.799999833E-2,-4.580000043E-1,4.743511391E-1
9.361312150E-1,1.239999980E-1,5.400000140E-2,-5.450000167E-1,5.615309589E-1
9.410745840E-1,1.239999980E-1,5.400000140E-2,-5.450000167E-1,5.615309589E-1
9.460211760E-1,1.150000021E-1,9.700000286E-2,-5.389999747E-1,5.596025141E-1
9.509668510E-1,1.150000021E-1,9.700000286E-2,-5.389999747E-1,5.596025141E-1
9.559128620E-1,9.000000358E-2,8.900000155E-2,-5.230000019E-1,5.380985067E-1
9.608587750E-1,9.000000358E-2,8.900000155E-2,-5.230000019E-1,5.380985067E-1
9.658093930E-1,8.299999684E-2,7.100000232E-2,-5.030000210E-1,5.147222755E-1
9.707585960E-1,8.299999684E-2,7.100000232E-2,-5.030000210E-1,5.147222755E-1
9.757013440E-1,7.699999958E-2,2.999999933E-2,-5.339999795E-1,5.403563435E-1
9.806459830E-1,7.699999958E-2,2.999999933E-2,-5.339999795E-1,5.403563435E-1
9.855887610E-1,1.350000054E-1,3.400000185E-2,-5.320000052E-1,5.499136361E-1
9.905320740E-1,1.350000054E-1,3.400000185E-2,-5.320000052E-1,5.499136361E-1
9.954799760E-1,7.800000161E-2,4.600000009E-2,-5.189999938E-1,5.268405772E-1
1.000426533E0,7.800000161E-2,4.600000009E-2,-5.189999938E-1,5.268405772E-1
1.005368839E0,5.700000003E-2,1.300000027E-2,-5.370000005E-1,5.401731209E-1
1.010312386E0,5.700000003E-2,1.300000027E-2,-5.370000005E-1,5.401731209E-1
1.015260608E0,6.199999899E-2,1.999999955E-2,-5.950000286E-1,5.985557901E-1
1.020207461E0,6.199999899E-2,1.999999955E-2,-5.950000286E-1,5.985557901E-1
1.025156049E0,9.300000221E-2,4.699999839E-2,-6.219999790E-1,6.306678794E-1
1.030104140E0,9.300000221E-2,4.699999839E-2,-6.219999790E-1,6.306678794E-1
1.035052669E0,8.600000292E-2,5.900000036E-2,-6.340000033E-1,6.425208205E-1
1.040001068E0,8.600000292E-2,5.900000036E-2,-6.340000033E-1,6.425208205E-1
1.044950035E0,5.000000075E-2,8.600000292E-2,-5.809999704E-1,5.894548042E-1
1.049898836E0,5.000000075E-2,8.600000292E-2,-5.809999704E-1,5.894548042E-1
1.054844421E0,7.999999821E-2,8.600000292E-2,-5.690000057E-1,5.809965634E-1
1.059790934E0,7.999999821E-2,8.600000292E-2,-5.690000057E-1,5.809965634E-1
1.064740810E0,8.299999684E-2,9.000000358E-2,-5.370000005E-1,5.507794483E-1
1.069689701E0,8.299999684E-2,9.000000358E-2,-5.370000005E-1,5.507794483E-1
1.074636399E0,5.900000036E-2,5.299999937E-2,-5.809999704E-1,5.863880674E-1
1.079583756E0,5.900000036E-2,5.299999937E-2,-5.809999704E-1,5.863880674E-1
1.084529749E0,7.599999756E-2,2.800000086E-2,-5.929999948E-1,5.985056336E-1
1.089476142E0,7.599999756E-2,2.800000086E-2,-5.929999948E-1,5.985056336E-1
1.094426519E0,7.100000232E-2,4.300000146E-2,-5.609999895E-1,5.671075636E-1
1.099375740E0,7.100000232E-2,4.300000146E-2,-5.609999895E-1,5.671075636E-1
1.104321549E0,5.999999866E-2,3.599999845E-2,-5.960000157E-1,6.000933415E-1
1.109268358E0,5.999999866E-2,3.599999845E-2,-5.960000157E-1,6.000933415E-1
1.114216046E0,5.099999905E-2,4.999999888E-3,-5.860000253E-1,5.882363722E-1
1.119163459E0,5.099999905E-2,4.999999888E-3,-5.860000253E-1,5.882363722E-1
1.124110343E0,4.600000009E-2,8.999999613E-3,-5.960000157E-1,5.978402954E-1
1.129057384E0,4.600000009E-2,8.999999613E-3,-5.960000157E-1,5.978402954E-1
1.134004421E0,5.400000140E-2,7.900000364E-2,-6.050000191E-1,6.125210395E-1
1.138951460E0,5.400000140E-2,7.900000364E-2,-6.050000191E-1,6.125210395E-1
1.143898183E0,-2.000000095E-3,8.900000155E-2,-5.120000243E-1,5.196816575E-1
1.148844998E0,-2.000000095E-3,8.900000155E-2,-5.120000243E-1,5.196816575E-1
1.153792849E0,4.199999943E-2,7.599999756E-2,-5.299999714E-1,5.370660753E-1
